period,window_days,buy_thresh,sell_thresh,return_pct,max_dd_pct,trades,win_rate,profit_factor,calmar,static_return_pct,static_max_dd_pct,outperformance
2022_Bear,365,-1.8,2.5,-42.81416638104073,-50.34244473546355,1,0.0,0.0,-0.8504586260364992,-65.04927734915155,-66.739616089799,22.235110968110824
2022_Bear,365,-1.8,3.0,-42.81416638104073,-50.34244473546355,1,0.0,0.0,-0.8504586260364992,-65.04927734915155,-66.739616089799,22.235110968110824
2022_Bear,365,-1.8,3.5,-42.81416638104073,-50.34244473546355,1,0.0,0.0,-0.8504586260364992,-65.04927734915155,-66.739616089799,22.235110968110824
2022_Bear,365,-2.0,1.5,-26.414327891944296,-35.36177532999876,1,0.0,0.0,-0.746974031859085,-65.04927734915155,-66.739616089799,38.634949457207256
2022_Bear,365,-2.0,2.0,-26.414327891944296,-35.36177532999876,1,0.0,0.0,-0.746974031859085,-65.04927734915155,-66.739616089799,38.634949457207256
2022_Bear,365,-2.0,2.5,-26.414327891944296,-35.36177532999876,1,0.0,0.0,-0.746974031859085,-65.04927734915155,-66.739616089799,38.634949457207256
2022_Bear,365,-2.0,3.0,-26.414327891944296,-35.36177532999876,1,0.0,0.0,-0.746974031859085,-65.04927734915155,-66.739616089799,38.634949457207256
2022_Bear,365,-2.0,3.5,-26.414327891944296,-35.36177532999876,1,0.0,0.0,-0.746974031859085,-65.04927734915155,-66.739616089799,38.634949457207256
2023_2024_Cycle,365,-1.0,1.5,74.50864396617784,-20.961001406586963,1,0.0,0.0,3.5546318861828623,486.2319037232082,-26.1820330084766,-411.72325975703035
2023_2024_Cycle,365,-1.0,2.0,74.50864396617784,-20.961001406586963,1,0.0,0.0,3.5546318861828623,486.2319037232082,-26.1820330084766,-411.72325975703035
2023_2024_Cycle,365,-1.0,2.5,74.50864396617784,-20.961001406586963,1,0.0,0.0,3.5546318861828623,486.2319037232082,-26.1820330084766,-411.72325975703035
2023_2024_Cycle,365,-1.0,3.0,74.50864396617784,-20.961001406586963,1,0.0,0.0,3.5546318861828623,486.2319037232082,-26.1820330084766,-411.72325975703035
2023_2024_Cycle,365,-1.0,3.5,74.50864396617784,-20.961001406586963,1,0.0,0.0,3.5546318861828623,486.2319037232082,-26.1820330084766,-411.72325975703035
2023_2024_Cycle,365,-1.2,1.5,80.51286036064877,-16.142106564136235,1,0.0,0.0,4.987754233981358,486.2319037232082,-26.1820330084766,-405.71904336255943
2023_2024_Cycle,365,-1.2,2.0,80.51286036064877,-16.142106564136235,1,0.0,0.0,4.987754233981358,486.2319037232082,-26.1820330084766,-405.71904336255943
